file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
kaydasheva_s001660,0.0,11.85675,corpus,-49.402090140177066,-52.6746506690979,6.298498306430318,18.66402233083269
kaydasheva_s001912,0.0,9.1018125,corpus,-38.384276270604396,-42.96945381164551,6.298498306430318,18.054670880388148
kaydasheva_s000807,0.0,9.1298125,corpus,-43.90796139101862,-47.26217030190133,6.298498306430318,18.20916600526914
kaydasheva_s001482,0.0,11.11775,corpus,-41.414287320143885,-42.80679666855756,6.2984947024010705,10.10408322922126
kaydasheva_s000736,0.0,9.73375,corpus,-44.05914777106886,-47.93440568269189,6.2910376941985735,16.2793359904404
kaydasheva_s001942,0.0,11.3798125,corpus,-45.6302209193761,-49.09903233594233,6.203906749710267,14.462436856883803
kaydasheva_s000392,0.0,11.6698125,corpus,-49.545084217009425,-53.64709101496516,6.191979207841538,11.437485800823291
kaydasheva_s000639,0.0,13.7198125,corpus,-43.09578853862974,-45.59189536979606,6.190462365896393,22.428230793030373
kaydasheva_s001706,0.0,16.1048125,corpus,-45.63657317546584,-47.554567647534746,6.190453413433033,15.442932520661238
kaydasheva_s002078,0.0,10.0088125,corpus,-43.96297452547453,-46.842825444539386,6.174642362872469,14.226041903760812
kaydasheva_s000421,0.0,6.3438125,corpus,-41.33999778194006,-45.88706362247467,6.161804532733878,5.8262236711585285
kaydasheva_s001908,0.0,10.2078125,corpus,-43.2070159463761,-46.83387438456217,6.161799537246827,21.46141362354563
kaydasheva_s001581,0.0,13.53575,corpus,-43.06353570439439,-45.43671261469523,6.145862929463061,20.552063689265587
kaydasheva_s001024,0.0,6.4738125,corpus,-45.69152096213292,-52.22064649793837,6.145594937325896,18.110876504390262
kaydasheva_s000044,0.0,13.5098125,corpus,-44.26427761843079,-45.166304659487594,6.144686241203691,23.151886172486794
kaydasheva_s000253,0.0,10.9498125,corpus,-44.1546875,-46.41209087371826,6.144657307055311,17.529767571553954
